normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,symboling
'\'B3of10\'',alfa-romero,gas,std,two,convertible,rwd,front,'\'B1of10\'','\'B5of10\'','\'B4of10\'','\'B1of10\'','\'B5of10\'',dohc,four,'\'B3of10\'',mpfi,'\'B7of10\'','\'B3of10\'','\'B2of10\'','\'B3of10\'','\'B4of10\'','\'B3of10\'','\'B3of10\'','\'B3of10\'',3
'\'B3of10\'',alfa-romero,gas,std,two,convertible,rwd,front,'\'B1of10\'','\'B5of10\'','\'B4of10\'','\'B1of10\'','\'B5of10\'',dohc,four,'\'B3of10\'',mpfi,'\'B7of10\'','\'B3of10\'','\'B2of10\'','\'B3of10\'','\'B4of10\'','\'B3of10\'','\'B3of10\'','\'B3of10\'',3
'\'B3of10\'',alfa-romero,gas,std,two,hatchback,rwd,front,'\'B3of10\'','\'B5of10\'','\'B5of10\'','\'B4of10\'','\'B6of10\'',ohcv,six,'\'B4of10\'',mpfi,'\'B1of10\'','\'B7of10\'','\'B2of10\'','\'B5of10\'','\'B4of10\'','\'B2of10\'','\'B3of10\'','\'B3of10\'',1
'\'B6of10\'',audi,gas,std,four,sedan,fwd,front,'\'B4of10\'','\'B6of10\'','\'B5of10\'','\'B6of10\'','\'B4of10\'',ohc,four,'\'B2of10\'',mpfi,'\'B5of10\'','\'B7of10\'','\'B2of10\'','\'B3of10\'','\'B6of10\'','\'B4of10\'','\'B4of10\'','\'B3of10\'',2
'\'B6of10\'',audi,gas,std,four,sedan,4wd,front,'\'B4of10\'','\'B6of10\'','\'B6of10\'','\'B6of10\'','\'B6of10\'',ohc,five,'\'B3of10\'',mpfi,'\'B5of10\'','\'B7of10\'','\'B1of10\'','\'B3of10\'','\'B6of10\'','\'B2of10\'','\'B2of10\'','\'B4of10\'',2
'\'B3of10\'',audi,gas,std,two,sedan,fwd,front,'\'B4of10\'','\'B6of10\'','\'B5of10\'','\'B5of10\'','\'B4of10\'',ohc,five,'\'B3of10\'',mpfi,'\'B5of10\'','\'B7of10\'','\'B1of10\'','\'B3of10\'','\'B6of10\'','\'B2of10\'','\'B3of10\'','\'B3of10\'',2
'\'B5of10\'',audi,gas,std,four,sedan,fwd,front,'\'B6of10\'','\'B8of10\'','\'B10of10\'','\'B7of10\'','\'B6of10\'',ohc,five,'\'B3of10\'',mpfi,'\'B5of10\'','\'B7of10\'','\'B1of10\'','\'B3of10\'','\'B6of10\'','\'B2of10\'','\'B3of10\'','\'B4of10\'',1
'\'B3of10\'',audi,gas,std,four,wagon,fwd,front,'\'B6of10\'','\'B8of10\'','\'B10of10\'','\'B7of10\'','\'B6of10\'',ohc,five,'\'B3of10\'',mpfi,'\'B5of10\'','\'B7of10\'','\'B1of10\'','\'B3of10\'','\'B6of10\'','\'B2of10\'','\'B3of10\'','\'B4of10\'',1
'\'B5of10\'',audi,gas,turbo,four,sedan,fwd,front,'\'B6of10\'','\'B8of10\'','\'B10of10\'','\'B7of10\'','\'B7of10\'',ohc,five,'\'B3of10\'',mpfi,'\'B5of10\'','\'B7of10\'','\'B1of10\'','\'B4of10\'','\'B6of10\'','\'B2of10\'','\'B2of10\'','\'B5of10\'',1
'\'B3of10\'',audi,gas,turbo,two,hatchback,4wd,front,'\'B4of10\'','\'B6of10\'','\'B7of10\'','\'B4of10\'','\'B7of10\'',ohc,five,'\'B3of10\'',mpfi,'\'B5of10\'','\'B7of10\'','\'B1of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'','\'B2of10\'','\'B3of10\'',0
'\'B7of10\'',bmw,gas,std,two,sedan,rwd,front,'\'B5of10\'','\'B6of10\'','\'B4of10\'','\'B6of10\'','\'B4of10\'',ohc,four,'\'B2of10\'',mpfi,'\'B7of10\'','\'B4of10\'','\'B2of10\'','\'B3of10\'','\'B7of10\'','\'B3of10\'','\'B4of10\'','\'B3of10\'',2
'\'B7of10\'',bmw,gas,std,four,sedan,rwd,front,'\'B5of10\'','\'B6of10\'','\'B4of10\'','\'B6of10\'','\'B4of10\'',ohc,four,'\'B2of10\'',mpfi,'\'B7of10\'','\'B4of10\'','\'B2of10\'','\'B3of10\'','\'B7of10\'','\'B3of10\'','\'B4of10\'','\'B3of10\'',0
'\'B7of10\'',bmw,gas,std,two,sedan,rwd,front,'\'B5of10\'','\'B6of10\'','\'B4of10\'','\'B6of10\'','\'B5of10\'',ohc,six,'\'B4of10\'',mpfi,'\'B6of10\'','\'B6of10\'','\'B2of10\'','\'B4of10\'','\'B1of10\'','\'B3of10\'','\'B4of10\'','\'B4of10\'',0
'\'B7of10\'',bmw,gas,std,four,sedan,rwd,front,'\'B5of10\'','\'B6of10\'','\'B4of10\'','\'B6of10\'','\'B5of10\'',ohc,six,'\'B4of10\'',mpfi,'\'B6of10\'','\'B6of10\'','\'B2of10\'','\'B4of10\'','\'B1of10\'','\'B3of10\'','\'B4of10\'','\'B4of10\'',0
'\'B3of10\'',bmw,gas,std,four,sedan,rwd,front,'\'B5of10\'','\'B8of10\'','\'B6of10\'','\'B7of10\'','\'B7of10\'',ohc,six,'\'B4of10\'',mpfi,'\'B6of10\'','\'B6of10\'','\'B2of10\'','\'B4of10\'','\'B1of10\'','\'B2of10\'','\'B3of10\'','\'B5of10\'',1
'\'B3of10\'',bmw,gas,std,four,sedan,rwd,front,'\'B5of10\'','\'B8of10\'','\'B6of10\'','\'B7of10\'','\'B7of10\'',ohc,six,'\'B6of10\'',mpfi,'\'B8of10\'','\'B7of10\'','\'B1of10\'','\'B6of10\'','\'B6of10\'','\'B1of10\'','\'B2of10\'','\'B7of10\'',0
'\'B3of10\'',bmw,gas,std,two,sedan,rwd,front,'\'B5of10\'','\'B8of10\'','\'B7of10\'','\'B5of10\'','\'B8of10\'',ohc,six,'\'B6of10\'',mpfi,'\'B8of10\'','\'B7of10\'','\'B1of10\'','\'B6of10\'','\'B6of10\'','\'B1of10\'','\'B2of10\'','\'B9of10\'',0
'\'B3of10\'',bmw,gas,std,four,sedan,rwd,front,'\'B7of10\'','\'B9of10\'','\'B9of10\'','\'B8of10\'','\'B8of10\'',ohc,six,'\'B6of10\'',mpfi,'\'B8of10\'','\'B7of10\'','\'B1of10\'','\'B6of10\'','\'B6of10\'','\'B1of10\'','\'B2of10\'','\'B8of10\'',0
'\'B3of10\'',chevrolet,gas,std,two,hatchback,fwd,front,'\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B5of10\'','\'B1of10\'',l,three,'\'B1of10\'',2bbl,'\'B3of10\'','\'B5of10\'','\'B2of10\'','\'B1of10\'','\'B4of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'',2
'\'B2of10\'',chevrolet,gas,std,two,hatchback,fwd,front,'\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B4of10\'','\'B2of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B4of10\'','\'B5of10\'','\'B2of10\'','\'B1of10\'','\'B6of10\'','\'B7of10\'','\'B8of10\'','\'B1of10\'',1
'\'B1of10\'',chevrolet,gas,std,four,sedan,fwd,front,'\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B4of10\'','\'B2of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B4of10\'','\'B5of10\'','\'B2of10\'','\'B1of10\'','\'B6of10\'','\'B7of10\'','\'B8of10\'','\'B1of10\'',0
'\'B3of10\'',dodge,gas,std,two,hatchback,fwd,front,'\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B2of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B4of10\'','\'B6of10\'','\'B2of10\'','\'B1of10\'','\'B6of10\'','\'B7of10\'','\'B7of10\'','\'B1of10\'',1
'\'B3of10\'',dodge,gas,std,two,hatchback,fwd,front,'\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B2of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B4of10\'','\'B6of10\'','\'B2of10\'','\'B1of10\'','\'B6of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'',1
'\'B3of10\'',dodge,gas,turbo,two,hatchback,fwd,front,'\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B3of10\'',ohc,four,'\'B2of10\'',mpfi,'\'B4of10\'','\'B7of10\'','\'B1of10\'','\'B3of10\'','\'B6of10\'','\'B4of10\'','\'B4of10\'','\'B1of10\'',1
'\'B5of10\'',dodge,gas,std,four,hatchback,fwd,front,'\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B2of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B4of10\'','\'B6of10\'','\'B2of10\'','\'B1of10\'','\'B6of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'',1
'\'B5of10\'',dodge,gas,std,four,sedan,fwd,front,'\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B2of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B4of10\'','\'B6of10\'','\'B2of10\'','\'B1of10\'','\'B6of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'',1
'\'B5of10\'',dodge,gas,std,four,sedan,fwd,front,'\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B2of10\'',ohc,four,'\'B2of10\'',2bbl,'\'B4of10\'','\'B6of10\'','\'B2of10\'','\'B1of10\'','\'B6of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'',1
'\'B5of10\'',dodge,gas,turbo,four,sedan,fwd,front,'\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B3of10\'','\'B3of10\'',ohc,four,'\'B2of10\'',mpfi,'\'B4of10\'','\'B7of10\'','\'B1of10\'','\'B3of10\'','\'B6of10\'','\'B4of10\'','\'B4of10\'','\'B1of10\'',1
'\'B3of10\'',dodge,gas,std,four,wagon,fwd,front,'\'B5of10\'','\'B5of10\'','\'B4of10\'','\'B10of10\'','\'B5of10\'',ohc,four,'\'B3of10\'',2bbl,'\'B6of10\'','\'B7of10\'','\'B1of10\'','\'B2of10\'','\'B4of10\'','\'B4of10\'','\'B4of10\'','\'B1of10\'',-1
'\'B5of10\'',dodge,gas,turbo,two,hatchback,fwd,front,'\'B3of10\'','\'B5of10\'','\'B5of10\'','\'B3of10\'','\'B6of10\'',ohc,four,'\'B4of10\'',mfi,'\'B8of10\'','\'B9of10\'','\'B1of10\'','\'B5of10\'','\'B4of10\'','\'B2of10\'','\'B3of10\'','\'B2of10\'',3
'\'B4of10\'',honda,gas,std,two,hatchback,fwd,front,'\'B1of10\'','\'B1of10\'','\'B3of10\'','\'B3of10\'','\'B1of10\'',ohc,four,'\'B2of10\'',1bbl,'\'B3of10\'','\'B7of10\'','\'B2of10\'','\'B1of10\'','\'B3of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'',2
'\'B4of10\'',honda,gas,std,two,hatchback,fwd,front,'\'B1of10\'','\'B1of10\'','\'B3of10\'','\'B3of10\'','\'B2of10\'',ohc,four,'\'B2of10\'',1bbl,'\'B3of10\'','\'B7of10\'','\'B2of10\'','\'B2of10\'','\'B8of10\'','\'B5of10\'','\'B6of10\'','\'B1of10\'',2
'\'B2of10\'',honda,gas,std,two,hatchback,fwd,front,'\'B3of10\'','\'B2of10\'','\'B4of10\'','\'B5of10\'','\'B2of10\'',ohc,four,'\'B1of10\'',1bbl,'\'B3of10\'','\'B5of10\'','\'B2of10\'','\'B1of10\'','\'B6of10\'','\'B7of10\'','\'B7of10\'','\'B1of10\'',1
'\'B2of10\'',honda,gas,std,two,hatchback,fwd,front,'\'B3of10\'','\'B2of10\'','\'B4of10\'','\'B5of10\'','\'B2of10\'',ohc,four,'\'B2of10\'',1bbl,'\'B3of10\'','\'B7of10\'','\'B2of10\'','\'B2of10\'','\'B8of10\'','\'B5of10\'','\'B5of10\'','\'B1of10\'',1
'\'B2of10\'',honda,gas,std,two,hatchback,fwd,front,'\'B3of10\'','\'B2of10\'','\'B4of10\'','\'B5of10\'','\'B2of10\'',ohc,four,'\'B2of10\'',1bbl,'\'B3of10\'','\'B7of10\'','\'B2of10\'','\'B2of10\'','\'B8of10\'','\'B5of10\'','\'B5of10\'','\'B1of10\'',1
'\'B3of10\'',honda,gas,std,four,sedan,fwd,front,'\'B3of10\'','\'B4of10\'','\'B4of10\'','\'B6of10\'','\'B3of10\'',ohc,four,'\'B2of10\'',1bbl,'\'B3of10\'','\'B7of10\'','\'B2of10\'','\'B2of10\'','\'B8of10\'','\'B5of10\'','\'B5of10\'','\'B1of10\'',0
