surgery,Age,'rectal temperature',pulse,'respiratory rate','temperature of extremities','peripheral pulse','mucous membranes','capillary refill time',pain,peristalsis,'abdominal distension','nasogastric tube','nasogastric reflux','nasogastric reflux PH','rectal examination',abdomen,'packed cell volume','total protein','abdominocentesis appearance','abdomcentesis total protein',outcome,cp_data,'surgical lesion'
2,'\'B1of10\'','\'B6of10\'','\'B3of10\'','\'B3of10\'','\'B7of10\'','\'B7of10\'','\'B4of10\'','\'B5of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B4of10\'','\'B4of10\'','\'B6of10\'','\'B7of10\'','\'B10of10\'','\'B6of10\'','\'B1of10\'','\'B6of10\'','\'B3of10\'','\'B5of10\'','\'B10of10\'',2
1,'\'B1of10\'','\'B8of10\'','\'B4of10\'','\'B2of10\'','\'B5of10\'','\'B4of10\'','\'B6of10\'','\'B1of10\'','\'B5of10\'','\'B10of10\'','\'B4of10\'','\'B4of10\'','\'B4of10\'','\'B6of10\'','\'B10of10\'','\'B3of10\'','\'B7of10\'','\'B10of10\'','\'B5of10\'','\'B2of10\'','\'B10of10\'','\'B10of10\'',2
2,'\'B1of10\'','\'B6of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B5of10\'','\'B7of10\'','\'B1of10\'','\'B4of10\'','\'B4of10\'','\'B6of10\'','\'B1of10\'','\'B1of10\'','\'B5of10\'','\'B1of10\'','\'B6of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',2
1,'\'B10of10\'','\'B7of10\'','\'B9of10\'','\'B9of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B5of10\'','\'B3of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B5of10\'','\'B6of10\'','\'B7of10\'','\'B7of10\'','\'B7of10\'','\'B1of10\'','\'B10of10\'','\'B6of10\'','\'B5of10\'','\'B1of10\'',1
2,'\'B1of10\'','\'B4of10\'','\'B5of10\'','\'B4of10\'','\'B5of10\'','\'B4of10\'','\'B10of10\'','\'B5of10\'','\'B5of10\'','\'B7of10\'','\'B5of10\'','\'B4of10\'','\'B4of10\'','\'B6of10\'','\'B6of10\'','\'B7of10\'','\'B10of10\'','\'B1of10\'','\'B6of10\'','\'B3of10\'','\'B5of10\'','\'B10of10\'',2
2,'\'B1of10\'','\'B6of10\'','\'B3of10\'','\'B3of10\'','\'B4of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B3of10\'','\'B7of10\'','\'B4of10\'','\'B5of10\'','\'B1of10\'','\'B6of10\'','\'B7of10\'','\'B5of10\'','\'B6of10\'','\'B3of10\'','\'B6of10\'','\'B3of10\'','\'B1of10\'','\'B10of10\'',2
1,'\'B1of10\'','\'B5of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B5of10\'','\'B7of10\'','\'B7of10\'','\'B1of10\'','\'B1of10\'','\'B6of10\'','\'B7of10\'','\'B10of10\'','\'B5of10\'','\'B1of10\'','\'B6of10\'','\'B3of10\'','\'B1of10\'','\'B10of10\'',1
1,'\'B1of10\'','\'B6of10\'','\'B2of10\'','\'B3of10\'','\'B7of10\'','\'B4of10\'','\'B4of10\'','\'B1of10\'','\'B5of10\'','\'B10of10\'','\'B4of10\'','\'B5of10\'','\'B1of10\'','\'B6of10\'','\'B7of10\'','\'B8of10\'','\'B6of10\'','\'B1of10\'','\'B6of10\'','\'B3of10\'','\'B5of10\'','\'B10of10\'',1
2,'\'B1of10\'','\'B6of10\'','\'B4of10\'','\'B4of10\'','\'B7of10\'','\'B10of10\'','\'B4of10\'','\'B1of10\'','\'B8of10\'','\'B10of10\'','\'B10of10\'','\'B5of10\'','\'B1of10\'','\'B6of10\'','\'B7of10\'','\'B10of10\'','\'B5of10\'','\'B1of10\'','\'B6of10\'','\'B3of10\'','\'B10of10\'','\'B10of10\'',1
2,'\'B10of10\'','\'B6of10\'','\'B4of10\'','\'B3of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B7of10\'','\'B1of10\'','\'B5of10\'','\'B1of10\'','\'B6of10\'','\'B7of10\'','\'B7of10\'','\'B6of10\'','\'B1of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'',2
1,'\'B1of10\'','\'B6of10\'','\'B3of10\'','\'B1of10\'','\'B7of10\'','\'B7of10\'','\'B8of10\'','\'B1of10\'','\'B5of10\'','\'B7of10\'','\'B1of10\'','\'B5of10\'','\'B1of10\'','\'B3of10\'','\'B4of10\'','\'B10of10\'','\'B6of10\'','\'B1of10\'','\'B5of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'',1
2,'\'B1of10\'','\'B7of10\'','\'B3of10\'','\'B5of10\'','\'B4of10\'','\'B4of10\'','\'B2of10\'','\'B1of10\'','\'B3of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'','\'B6of10\'','\'B10of10\'','\'B8of10\'','\'B7of10\'','\'B1of10\'','\'B6of10\'','\'B3of10\'','\'B1of10\'','\'B10of10\'',1
1,'\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B5of10\'','\'B7of10\'','\'B7of10\'','\'B10of10\'','\'B1of10\'','\'B6of10\'','\'B10of10\'','\'B10of10\'','\'B6of10\'','\'B1of10\'','\'B6of10\'','\'B3of10\'','\'B1of10\'','\'B10of10\'',2
2,'\'B10of10\'','\'B5of10\'','\'B5of10\'','\'B3of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B7of10\'','\'B4of10\'','\'B10of10\'','\'B4of10\'','\'B9of10\'','\'B1of10\'','\'B1of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'','\'B3of10\'','\'B5of10\'','\'B1of10\'',2
