sepal_length,sepal_width,petal_length,petal_width,class
'\'B3of10\'','\'B7of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B2of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B2of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B1of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B2of10\'','\'B7of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B4of10\'','\'B8of10\'','\'B2of10\'','\'B2of10\'',Iris-setosa
'\'B1of10\'','\'B6of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B2of10\'','\'B6of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B1of10\'','\'B4of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B2of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B4of10\'','\'B8of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B2of10\'','\'B6of10\'','\'B2of10\'','\'B1of10\'',Iris-setosa
'\'B2of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B1of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B5of10\'','\'B9of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B4of10\'','\'B10of10\'','\'B1of10\'','\'B2of10\'',Iris-setosa
'\'B4of10\'','\'B8of10\'','\'B1of10\'','\'B2of10\'',Iris-setosa
'\'B3of10\'','\'B7of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B4of10\'','\'B8of10\'','\'B2of10\'','\'B1of10\'',Iris-setosa
'\'B3of10\'','\'B8of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B4of10\'','\'B6of10\'','\'B2of10\'','\'B1of10\'',Iris-setosa
'\'B3of10\'','\'B8of10\'','\'B1of10\'','\'B2of10\'',Iris-setosa
'\'B1of10\'','\'B7of10\'','\'B1of10\'','\'B1of10\'',Iris-setosa
'\'B3of10\'','\'B6of10\'','\'B2of10\'','\'B2of10\'',Iris-setosa
