region-centroid-col,region-centroid-row,region-pixel-count,short-line-density-5,short-line-density-2,vedge-mean,vegde-sd,hedge-mean,hedge-sd,intensity-mean,rawred-mean,rawblue-mean,rawgreen-mean,exred-mean,exblue-mean,exgreen-mean,value-mean,saturation-mean,hue-mean,class
'\'B2of10\'','\'B8of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B3of10\'','\'B2of10\'','\'B3of10\'','\'B2of10\'','\'B7of10\'','\'B4of10\'','\'B5of10\'','\'B3of10\'','\'B3of10\'','\'B2of10\'',path
'\'B1of10\'','\'B8of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B2of10\'','\'B2of10\'','\'B7of10\'','\'B2of10\'','\'B8of10\'','\'B2of10\'','\'B4of10\'','\'B10of10\'',grass
'\'B2of10\'','\'B6of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B9of10\'','\'B2of10\'','\'B6of10\'','\'B1of10\'','\'B8of10\'','\'B2of10\'',foliage
'\'B3of10\'','\'B9of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B8of10\'','\'B1of10\'','\'B8of10\'','\'B1of10\'','\'B5of10\'','\'B9of10\'',grass
'\'B7of10\'','\'B6of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B9of10\'','\'B2of10\'','\'B6of10\'','\'B1of10\'','\'B10of10\'','\'B3of10\'',window
'\'B10of10\'','\'B4of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B8of10\'','\'B3of10\'','\'B6of10\'','\'B1of10\'','\'B10of10\'','\'B2of10\'',foliage
'\'B3of10\'','\'B1of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B9of10\'','\'B9of10\'','\'B10of10\'','\'B9of10\'','\'B3of10\'','\'B7of10\'','\'B4of10\'','\'B10of10\'','\'B2of10\'','\'B2of10\'',sky
'\'B8of10\'','\'B8of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B5of10\'','\'B4of10\'','\'B5of10\'','\'B4of10\'','\'B6of10\'','\'B6of10\'','\'B2of10\'','\'B5of10\'','\'B4of10\'','\'B2of10\'',path
'\'B9of10\'','\'B10of10\'','\'All\'','\'B4of10\'','\'B5of10\'','\'B2of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B2of10\'','\'B8of10\'','\'B1of10\'','\'B9of10\'','\'B1of10\'','\'B6of10\'','\'B9of10\'',grass
'\'B1of10\'','\'B7of10\'','\'All\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B4of10\'','\'B3of10\'','\'B4of10\'','\'B3of10\'','\'B6of10\'','\'B5of10\'','\'B3of10\'','\'B4of10\'','\'B4of10\'','\'B2of10\'',path
