hair,feathers,eggs,milk,airbone,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
'\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'',1
'\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B5of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'',1
'\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'',4
'\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B5of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'',1
'\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B5of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'',1
'\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B5of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'',1
'\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B5of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'',1
'\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'',4
'\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'',4
'\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B5of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'',1
'\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B5of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'',1
'\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B1of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'','\'B1of10\'','\'B3of10\'','\'B10of10\'','\'B10of10\'','\'B1of10\'',2
