Left-Weight,Left-Distance,Right-Weight,Right-Distance,'Class Name'
1,1,1,1,B
1,1,1,3,R
1,1,1,5,R
1,1,1,8,R
1,1,1,10,R
1,1,3,1,R
1,1,3,3,R
1,1,3,5,R
1,1,3,8,R
1,1,3,10,R
1,1,5,1,R
1,1,5,3,R
1,1,5,5,R
1,1,5,8,R
1,1,5,10,R
1,1,8,1,R
1,1,8,3,R
1,1,8,5,R
1,1,8,8,R
1,1,8,10,R
1,1,10,1,R
1,1,10,3,R
1,1,10,5,R
1,1,10,8,R
1,1,10,10,R
1,3,1,1,L
1,3,1,3,B
1,3,1,5,R
1,3,1,8,R
1,3,1,10,R
1,3,3,1,B
1,3,3,3,R
1,3,3,5,R
1,3,3,8,R
1,3,3,10,R
1,3,5,1,R
1,3,5,3,R
1,3,5,5,R
1,3,5,8,R
1,3,5,10,R
1,3,8,1,R
1,3,8,3,R
1,3,8,5,R
1,3,8,8,R
1,3,8,10,R
1,3,10,1,R
1,3,10,3,R
1,3,10,5,R
1,3,10,8,R
1,3,10,10,R
1,5,1,1,L
1,5,1,3,L
1,5,1,5,B
1,5,1,8,R
1,5,1,10,R
1,5,3,1,L
1,5,3,3,R
1,5,3,5,R
1,5,3,8,R
1,5,3,10,R
1,5,5,1,B
1,5,5,3,R
1,5,5,5,R
1,5,5,8,R
1,5,5,10,R
1,5,8,1,R
1,5,8,3,R
1,5,8,5,R
1,5,8,8,R
1,5,8,10,R
1,5,10,1,R
1,5,10,3,R
1,5,10,5,R
1,5,10,8,R
1,5,10,10,R
1,8,1,1,L
1,8,1,3,L
1,8,1,5,L
1,8,1,8,B
1,8,1,10,R
1,8,3,1,L
1,8,3,3,B
1,8,3,5,R
1,8,3,8,R
1,8,3,10,R
1,8,5,1,L
1,8,5,3,R
1,8,5,5,R
1,8,5,8,R
1,8,5,10,R
1,8,8,1,B
1,8,8,3,R
1,8,8,5,R
1,8,8,8,R
1,8,8,10,R
1,8,10,1,R
1,8,10,3,R
1,8,10,5,R
1,8,10,8,R
1,8,10,10,R
1,10,1,1,L
1,10,1,3,L
1,10,1,5,L
1,10,1,8,L
1,10,1,10,B
1,10,3,1,L
1,10,3,3,L
1,10,3,5,R
1,10,3,8,R
1,10,3,10,R
1,10,5,1,L
1,10,5,3,R
1,10,5,5,R
1,10,5,8,R
1,10,5,10,R
1,10,8,1,L
1,10,8,3,R
1,10,8,5,R
1,10,8,8,R
1,10,8,10,R
1,10,10,1,B
1,10,10,3,R
1,10,10,5,R
1,10,10,8,R
1,10,10,10,R
3,1,1,1,L
3,1,1,3,B
3,1,1,5,R
3,1,1,8,R
3,1,1,10,R
3,1,3,1,B
3,1,3,3,R
3,1,3,5,R
3,1,3,8,R
3,1,3,10,R
3,1,5,1,R
3,1,5,3,R
3,1,5,5,R
3,1,5,8,R
3,1,5,10,R
3,1,8,1,R
3,1,8,3,R
3,1,8,5,R
3,1,8,8,R
3,1,8,10,R
3,1,10,1,R
3,1,10,3,R
3,1,10,5,R
3,1,10,8,R
3,1,10,10,R
3,3,1,1,L
3,3,1,3,L
3,3,1,5,L
3,3,1,8,B
3,3,1,10,R
3,3,3,1,L
3,3,3,3,B
3,3,3,5,R
3,3,3,8,R
3,3,3,10,R
3,3,5,1,L
3,3,5,3,R
3,3,5,5,R
3,3,5,8,R
3,3,5,10,R
3,3,8,1,B
3,3,8,3,R
3,3,8,5,R
3,3,8,8,R
3,3,8,10,R
3,3,10,1,R
3,3,10,3,R
3,3,10,5,R
3,3,10,8,R
3,3,10,10,R
3,5,1,1,L
3,5,1,3,L
3,5,1,5,L
3,5,1,8,L
3,5,1,10,L
3,5,3,1,L
3,5,3,3,L
3,5,3,5,B
3,5,3,8,R
3,5,3,10,R
3,5,5,1,L
3,5,5,3,B
3,5,5,5,R
3,5,5,8,R
3,5,5,10,R
3,5,8,1,L
3,5,8,3,R
3,5,8,5,R
3,5,8,8,R
3,5,8,10,R
3,5,10,1,L
3,5,10,3,R
3,5,10,5,R
3,5,10,8,R
3,5,10,10,R
3,8,1,1,L
3,8,1,3,L
3,8,1,5,L
3,8,1,8,L
3,8,1,10,L
3,8,3,1,L
3,8,3,3,L
3,8,3,5,L
3,8,3,8,B
3,8,3,10,R
3,8,5,1,L
3,8,5,3,L
3,8,5,5,R
3,8,5,8,R
3,8,5,10,R
3,8,8,1,L
3,8,8,3,B
3,8,8,5,R
3,8,8,8,R
3,8,8,10,R
3,8,10,1,L
3,8,10,3,R
3,8,10,5,R
3,8,10,8,R
3,8,10,10,R
3,10,1,1,L
3,10,1,3,L
3,10,1,5,L
3,10,1,8,L
3,10,1,10,L
3,10,3,1,L
3,10,3,3,L
3,10,3,5,L
3,10,3,8,L
3,10,3,10,B
3,10,5,1,L
3,10,5,3,L
3,10,5,5,L
3,10,5,8,R
3,10,5,10,R
3,10,8,1,L
3,10,8,3,L
3,10,8,5,R
3,10,8,8,R
3,10,8,10,R
3,10,10,1,L
3,10,10,3,B
3,10,10,5,R
3,10,10,8,R
3,10,10,10,R
5,1,1,1,L
5,1,1,3,L
5,1,1,5,B
5,1,1,8,R
5,1,1,10,R
5,1,3,1,L
5,1,3,3,R
5,1,3,5,R
5,1,3,8,R
5,1,3,10,R
5,1,5,1,B
5,1,5,3,R
5,1,5,5,R
5,1,5,8,R
5,1,5,10,R
5,1,8,1,R
5,1,8,3,R
5,1,8,5,R
5,1,8,8,R
5,1,8,10,R
5,1,10,1,R
5,1,10,3,R
5,1,10,5,R
5,1,10,8,R
5,1,10,10,R
5,3,1,1,L
5,3,1,3,L
5,3,1,5,L
5,3,1,8,L
5,3,1,10,L
5,3,3,1,L
5,3,3,3,L
5,3,3,5,B
5,3,3,8,R
5,3,3,10,R
5,3,5,1,L
5,3,5,3,B
5,3,5,5,R
5,3,5,8,R
5,3,5,10,R
5,3,8,1,L
5,3,8,3,R
5,3,8,5,R
5,3,8,8,R
5,3,8,10,R
5,3,10,1,L
5,3,10,3,R
5,3,10,5,R
5,3,10,8,R
5,3,10,10,R
5,5,1,1,L
5,5,1,3,L
5,5,1,5,L
5,5,1,8,L
5,5,1,10,L
5,5,3,1,L
5,5,3,3,L
5,5,3,5,L
5,5,3,8,L
5,5,3,10,R
5,5,5,1,L
5,5,5,3,L
5,5,5,5,B
5,5,5,8,R
5,5,5,10,R
5,5,8,1,L
5,5,8,3,L
5,5,8,5,R
5,5,8,8,R
5,5,8,10,R
5,5,10,1,L
5,5,10,3,R
5,5,10,5,R
5,5,10,8,R
5,5,10,10,R
5,8,1,1,L
5,8,1,3,L
5,8,1,5,L
5,8,1,8,L
5,8,1,10,L
5,8,3,1,L
5,8,3,3,L
5,8,3,5,L
5,8,3,8,L
5,8,3,10,L
5,8,5,1,L
5,8,5,3,L
5,8,5,5,L
5,8,5,8,B
5,8,5,10,R
5,8,8,1,L
5,8,8,3,L
5,8,8,5,B
5,8,8,8,R
5,8,8,10,R
5,8,10,1,L
5,8,10,3,L
5,8,10,5,R
5,8,10,8,R
5,8,10,10,R
5,10,1,1,L
5,10,1,3,L
5,10,1,5,L
5,10,1,8,L
5,10,1,10,L
5,10,3,1,L
5,10,3,3,L
5,10,3,5,L
5,10,3,8,L
5,10,3,10,L
5,10,5,1,L
5,10,5,3,L
5,10,5,5,L
5,10,5,8,L
5,10,5,10,B
5,10,8,1,L
5,10,8,3,L
5,10,8,5,L
5,10,8,8,R
5,10,8,10,R
5,10,10,1,L
5,10,10,3,L
5,10,10,5,B
5,10,10,8,R
5,10,10,10,R
8,1,1,1,L
8,1,1,3,L
8,1,1,5,L
8,1,1,8,B
8,1,1,10,R
8,1,3,1,L
8,1,3,3,B
8,1,3,5,R
8,1,3,8,R
8,1,3,10,R
8,1,5,1,L
8,1,5,3,R
8,1,5,5,R
8,1,5,8,R
8,1,5,10,R
8,1,8,1,B
8,1,8,3,R
8,1,8,5,R
8,1,8,8,R
8,1,8,10,R
8,1,10,1,R
8,1,10,3,R
8,1,10,5,R
8,1,10,8,R
8,1,10,10,R
8,3,1,1,L
8,3,1,3,L
8,3,1,5,L
8,3,1,8,L
8,3,1,10,L
8,3,3,1,L
8,3,3,3,L
8,3,3,5,L
8,3,3,8,B
8,3,3,10,R
8,3,5,1,L
8,3,5,3,L
8,3,5,5,R
8,3,5,8,R
8,3,5,10,R
8,3,8,1,L
8,3,8,3,B
8,3,8,5,R
8,3,8,8,R
8,3,8,10,R
8,3,10,1,L
8,3,10,3,R
8,3,10,5,R
8,3,10,8,R
8,3,10,10,R
8,5,1,1,L
8,5,1,3,L
8,5,1,5,L
8,5,1,8,L
8,5,1,10,L
8,5,3,1,L
8,5,3,3,L
8,5,3,5,L
8,5,3,8,L
8,5,3,10,L
8,5,5,1,L
8,5,5,3,L
8,5,5,5,L
8,5,5,8,B
8,5,5,10,R
8,5,8,1,L
8,5,8,3,L
8,5,8,5,B
8,5,8,8,R
8,5,8,10,R
8,5,10,1,L
8,5,10,3,L
8,5,10,5,R
8,5,10,8,R
8,5,10,10,R
8,8,1,1,L
8,8,1,3,L
8,8,1,5,L
8,8,1,8,L
8,8,1,10,L
8,8,3,1,L
8,8,3,3,L
8,8,3,5,L
8,8,3,8,L
8,8,3,10,L
8,8,5,1,L
8,8,5,3,L
8,8,5,5,L
8,8,5,8,L
8,8,5,10,L
8,8,8,1,L
8,8,8,3,L
