A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16
b,3,1,u,g,w,v,1,t,t,1,f,g,2,1,+
a,7,2,u,g,q,h,2,t,t,1,f,g,1,1,+
a,2,1,u,g,q,h,1,t,f,1,f,g,2,1,+
b,3,1,u,g,w,v,2,t,t,1,t,g,1,1,+
b,1,3,u,g,w,v,1,t,f,1,f,s,1,1,+
b,3,2,u,g,m,v,1,t,f,1,t,g,2,1,+
b,3,1,u,g,r,h,3,t,f,1,t,g,1,4,+
a,2,5,u,g,cc,v,1,t,f,1,f,g,1,1,+
b,7,1,y,p,k,h,2,t,f,1,f,g,1,1,+
b,5,2,y,p,w,v,2,t,f,1,t,g,1,1,+
b,2,1,u,g,c,h,1,f,f,1,t,g,1,1,+
b,3,1,u,g,c,h,2,t,f,1,f,g,2,1,+
a,4,3,u,g,k,v,1,t,f,1,t,g,1,1,+
b,6,3,u,g,k,v,1,f,f,1,f,g,1,1,+
a,5,4,u,g,q,v,2,t,t,2,t,g,1,1,+
b,4,2,y,p,k,v,1,t,t,2,t,g,2,1,+
b,3,1,u,g,m,v,1,t,t,1,t,g,2,1,+
a,2,3,u,g,q,v,2,t,t,2,f,g,1,1,+
b,2,1,u,g,d,h,1,t,f,1,t,g,1,1,+
a,1,4,u,g,cc,h,1,t,t,2,f,g,1,1,+
b,2,5,u,g,c,v,1,t,t,3,f,g,1,1,+
b,2,1,u,g,c,v,1,t,f,1,f,s,2,1,+
a,6,3,u,g,c,v,3,t,t,1,t,g,1,1,+
a,3,6,u,g,x,h,2,t,t,1,f,g,1,1,+
a,5,3,u,g,q,v,1,t,t,1,t,g,1,1,+
a,1,1,u,g,c,h,1,t,t,1,f,g,1,1,+
a,5,5,u,g,i,bb,2,t,t,2,t,g,1,1,+
b,7,7,u,g,d,bb,6,t,t,3,t,g,1,1,+
b,7,4,u,g,e,h,3,t,t,1,f,g,1,1,+
