duration,wage-increase-first-year,wage-increase-second-year,wage-increase-third-year,cost-of-living-adjustment,working-hours,pension,standby-pay,shift-differential,education-allowance,statutory-holidays,vacation,longterm-disability-assistance,contribution-to-dental-plan,bereavement-assistance,contribution-to-health-plan,class
1,6,4,7,none,10,empl_contr,5,1,no,4,average,yes,half,yes,full,good
5,5,8,7,none,7,ret_allw,5,2,yes,4,below_average,yes,full,yes,full,good
6,4,4,7,none,9,empl_contr,5,2,no,4,generous,yes,half,yes,half,good
10,4,4,10,tc,9,empl_contr,5,2,yes,4,below_average,yes,half,yes,full,good
10,5,5,10,none,10,empl_contr,5,2,no,5,average,yes,half,yes,half,good
5,1,1,7,none,7,empl_contr,5,3,yes,5,average,yes,half,yes,full,good
10,4,6,10,tc,9,empl_contr,5,2,no,5,generous,yes,none,yes,half,good
10,10,6,1,none,10,empl_contr,5,2,no,5,below_average,yes,half,yes,full,good
5,2,10,7,none,9,empl_contr,9,10,yes,4,below_average,yes,half,yes,full,good
1,8,4,7,none,10,empl_contr,5,2,no,4,generous,yes,full,yes,full,good
10,3,4,9,none,7,empl_contr,5,2,no,7,generous,yes,half,yes,full,good
5,9,9,7,none,9,empl_contr,5,2,no,10,below_average,yes,full,yes,full,good
5,3,4,7,none,10,empl_contr,5,1,no,2,below_average,no,half,yes,half,bad
10,3,4,10,tcf,8,empl_contr,5,2,no,7,generous,yes,full,yes,full,good
1,2,4,7,none,7,empl_contr,5,4,no,4,generous,yes,half,yes,full,good
5,5,4,7,none,8,empl_contr,5,2,no,4,average,yes,full,yes,full,good
1,2,4,7,none,7,empl_contr,5,1,no,5,below_average,yes,half,yes,full,good
1,1,4,7,tc,10,ret_allw,1,2,no,1,below_average,yes,half,yes,none,bad
1,1,4,7,none,9,none,5,2,yes,4,average,no,none,no,none,bad
5,4,6,7,tcf,7,empl_contr,10,2,no,10,generous,yes,half,yes,full,good
5,5,5,7,none,9,empl_contr,5,2,no,5,generous,yes,full,yes,full,good
5,1,2,7,none,10,none,5,2,no,4,below_average,yes,half,yes,full,bad
10,3,4,9,tcf,1,empl_contr,5,2,no,4,below_average,yes,half,yes,full,good
5,5,4,7,none,10,empl_contr,5,2,no,2,generous,yes,half,yes,full,good
1,8,4,7,none,9,empl_contr,5,2,no,1,generous,yes,half,yes,full,good
10,1,1,1,none,10,none,5,2,no,2,below_average,yes,half,yes,full,bad
5,5,5,7,tcf,9,empl_contr,5,2,yes,2,below_average,yes,none,yes,half,good
5,2,2,7,none,5,empl_contr,5,2,yes,5,generous,yes,half,yes,full,good
5,6,4,7,none,8,empl_contr,5,2,no,4,below_average,yes,full,yes,full,good
10,1,1,7,none,7,none,5,2,no,2,average,yes,half,yes,full,bad
10,5,5,10,none,10,empl_contr,5,2,no,4,average,yes,half,yes,full,good
10,2,1,2,tc,10,none,5,2,no,2,below_average,yes,half,yes,full,bad
5,1,1,7,none,9,empl_contr,5,2,no,2,average,yes,half,yes,full,bad
5,4,6,7,none,10,none,5,2,no,2,below_average,no,none,yes,none,bad
10,1,1,1,tc,10,none,1,1,no,2,below_average,no,half,yes,full,bad
5,1,1,7,none,10,none,5,2,no,4,average,yes,none,yes,full,bad
1,1,4,7,tc,10,ret_allw,2,1,no,4,generous,no,none,no,none,bad
1,2,4,7,none,9,empl_contr,1,2,no,1,below_average,yes,half,yes,none,bad
10,1,1,1,none,8,empl_contr,5,2,no,2,average,yes,half,yes,none,bad
5,5,4,7,none,10,empl_contr,5,2,no,5,average,yes,full,yes,half,good
1,4,4,7,none,9,none,5,2,yes,4,average,no,none,no,none,bad
5,1,2,7,none,9,empl_contr,5,2,yes,5,generous,yes,none,yes,full,bad
5,1,1,7,tc,10,empl_contr,5,2,no,5,average,yes,half,yes,full,bad
5,1,2,7,tcf,10,none,5,2,no,4,below_average,yes,half,yes,full,bad
5,4,4,7,none,10,none,5,2,no,2,below_average,no,none,yes,none,bad
5,5,4,7,none,10,empl_contr,5,1,no,2,below_average,no,half,yes,half,bad
5,5,4,7,none,10,empl_contr,5,2,no,4,average,yes,full,yes,full,good
5,6,6,7,tcf,9,empl_contr,5,2,no,4,below_average,yes,half,yes,half,good
5,6,5,7,none,9,empl_contr,10,2,no,4,below_average,yes,half,yes,full,good
5,8,5,7,none,10,ret_allw,5,2,no,4,average,yes,full,yes,full,good
5,10,7,7,none,9,empl_contr,5,2,no,4,below_average,yes,full,yes,full,good
10,1,2,7,tcf,9,empl_contr,5,2,yes,4,below_average,yes,half,yes,full,good
10,3,4,9,tcf,7,empl_contr,5,2,no,7,generous,yes,half,yes,full,good
10,4,3,7,none,10,empl_contr,5,3,no,4,average,yes,full,yes,full,good
10,6,5,7,none,9,empl_contr,7,3,no,4,generous,yes,half,yes,full,good
10,6,6,10,none,10,empl_contr,5,2,no,5,average,yes,half,yes,half,good
10,8,8,7,none,7,empl_contr,5,6,no,1,generous,yes,full,yes,full,good
