x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx,class
2,6,2,4,1,6,9,1,4,4,7,6,1,6,1,6,T
4,8,2,5,2,7,4,4,3,9,2,6,2,6,3,7,I
3,8,4,6,4,7,4,2,4,7,2,5,2,5,2,6,D
5,8,4,4,2,4,6,3,4,3,3,7,4,7,2,6,N
2,1,2,1,1,6,4,4,4,4,4,6,1,5,4,7,G
3,8,4,6,2,6,6,4,6,4,4,4,1,6,6,5,S
3,2,4,3,3,6,5,4,4,5,4,4,2,6,5,7,B
1,1,2,2,1,6,2,2,2,6,2,6,1,4,2,5,A
2,2,3,3,2,7,4,2,4,8,3,6,1,4,1,5,J
8,10,9,6,5,9,2,4,2,8,1,6,6,1,1,6,M
2,6,4,5,3,6,5,2,6,4,4,6,2,6,4,5,X
4,9,3,5,3,4,5,4,2,7,5,6,4,6,4,6,O
3,6,4,5,4,5,6,4,2,4,4,8,3,6,5,6,G
4,6,6,4,6,5,6,4,4,5,4,6,6,6,6,4,M
4,6,4,5,4,4,8,5,2,5,2,6,2,5,4,8,R
4,6,4,3,2,7,4,2,4,7,4,5,2,6,4,6,F
2,3,3,2,2,6,5,5,4,5,4,6,2,6,2,6,O
5,7,4,4,2,4,6,4,6,8,5,8,2,6,4,6,C
4,8,4,6,4,4,8,4,4,8,6,3,2,8,2,3,T
2,2,2,2,1,7,4,2,4,8,3,6,1,5,1,5,J
1,2,2,2,1,6,6,2,4,10,4,6,1,5,1,5,J
3,4,4,3,3,5,5,4,4,5,4,6,2,6,2,6,H
2,2,2,2,2,6,6,5,4,5,4,5,2,6,6,6,S
4,8,5,6,4,5,4,6,4,5,4,6,3,6,4,4,O
2,4,3,3,2,4,4,3,3,10,6,8,1,4,1,4,J
4,8,5,6,2,5,6,5,8,3,5,10,1,5,3,6,C
5,8,8,6,6,2,6,3,4,7,8,7,7,6,4,5,M
8,10,8,6,4,6,7,3,2,4,7,5,7,8,2,4,W
4,6,6,5,4,6,4,4,5,5,5,6,4,6,3,6,H
2,4,3,3,2,4,4,4,4,4,4,6,2,6,3,6,G
2,2,2,3,1,1,1,4,4,1,1,4,1,6,1,6,L
1,2,2,1,1,4,3,1,5,6,2,7,1,5,2,6,L
6,8,6,4,3,2,7,3,5,8,8,6,2,5,2,3,X
4,6,5,5,7,6,6,3,3,4,6,4,4,8,6,5,B
4,6,6,5,4,4,4,2,4,7,6,6,6,4,2,5,M
3,5,4,4,2,4,4,4,6,4,4,6,2,7,3,6,G
3,5,4,4,2,5,5,6,4,5,4,6,2,6,2,6,O
2,4,3,3,2,3,10,6,1,8,4,2,1,7,3,6,P
3,6,4,4,4,6,4,3,2,5,4,8,4,6,4,8,G
2,3,2,4,2,2,6,4,7,5,4,10,1,6,5,6,E
4,8,6,6,3,6,6,1,6,7,4,5,2,6,3,6,X
2,5,3,4,3,5,5,4,6,6,6,6,2,6,4,6,E
3,4,5,3,2,6,5,2,6,8,2,5,2,6,3,6,X
3,4,4,6,2,5,4,6,6,4,4,7,1,6,4,8,G
5,6,4,4,2,6,7,3,4,6,7,4,3,8,2,6,V
3,7,4,5,4,6,5,2,6,4,4,4,2,6,4,6,X
4,6,4,5,6,5,6,4,2,5,6,6,4,6,2,6,W
1,2,2,1,1,5,5,4,4,5,4,7,1,6,2,6,G
6,7,6,4,4,5,5,2,4,6,3,6,4,4,5,5,R
2,6,3,5,2,5,4,4,7,4,4,7,1,6,6,6,S
5,8,6,6,6,6,4,4,3,5,6,6,2,6,6,2,Y
2,4,2,3,1,1,1,4,4,1,1,4,1,6,1,6,L
2,3,3,2,2,4,7,1,5,6,8,6,1,8,2,5,Y
3,4,4,4,4,6,7,3,3,5,5,6,2,5,5,4,J
3,6,4,4,3,5,6,5,5,6,3,5,2,5,6,6,S
4,6,5,8,5,6,4,5,4,6,4,6,2,6,4,6,Q
2,4,4,3,3,6,2,3,2,6,3,6,2,4,3,6,Q
2,4,2,3,2,4,5,7,6,4,4,4,2,6,2,6,D
4,7,3,4,2,4,6,4,4,8,5,5,2,6,4,6,C
4,7,4,6,4,6,2,2,4,6,2,6,2,4,2,6,L
2,2,2,4,2,5,5,9,2,4,4,6,4,6,1,6,N
2,2,2,1,1,4,6,3,4,8,6,8,1,6,2,6,C
4,6,3,3,2,5,5,3,5,7,4,7,1,6,5,6,E
3,6,4,4,4,5,4,2,4,4,4,6,2,6,6,6,X
2,2,3,1,2,6,5,4,4,5,4,6,4,6,2,5,H
2,2,2,3,1,1,1,4,4,1,1,4,1,6,1,6,L
2,4,4,3,2,5,6,2,4,7,4,6,2,6,2,6,H
2,2,2,2,2,5,5,4,5,5,4,6,2,6,4,7,E
4,7,4,5,4,6,4,4,3,5,6,5,4,6,6,2,Y
6,8,6,4,3,6,6,3,4,6,3,4,4,6,4,6,H
4,7,4,4,3,6,4,4,4,7,4,5,3,6,6,6,Q
2,6,4,5,2,6,5,6,4,4,4,6,2,6,4,6,Q
3,4,4,3,4,6,4,4,3,4,5,7,3,5,4,6,Q
2,6,2,4,1,9,2,6,3,9,2,8,1,4,1,6,J
3,5,4,4,2,6,6,1,5,10,4,4,1,6,1,6,J
3,4,4,3,2,5,5,5,5,5,4,4,2,6,2,5,D
2,4,3,3,2,4,5,4,4,4,4,5,2,5,4,6,R
3,4,5,3,3,4,4,2,3,6,6,7,5,4,2,6,M
2,5,4,4,2,8,2,2,2,7,2,6,2,4,2,6,A
2,4,3,3,2,5,6,4,3,5,5,5,4,6,2,4,N
4,7,6,5,6,2,5,3,4,7,8,7,5,6,2,5,M
6,10,5,6,3,4,7,4,2,8,4,3,3,7,3,6,P
4,8,4,5,3,6,4,3,2,6,6,8,3,6,6,7,C
4,7,6,6,5,6,4,5,4,5,4,4,2,6,6,6,P
2,2,2,1,1,4,6,2,2,7,6,6,3,6,1,6,N
2,3,3,2,2,6,7,2,2,4,6,5,4,8,1,6,W
2,6,4,4,4,6,5,3,1,6,5,6,4,7,3,5,V
4,6,6,6,7,6,5,4,4,5,4,6,6,6,6,2,V
4,5,6,4,5,3,5,2,4,7,7,8,6,4,2,5,M
3,6,4,4,3,5,5,3,6,8,6,6,2,6,4,5,E
4,8,6,6,6,4,6,2,3,6,6,6,5,6,4,3,N
6,7,6,5,3,2,7,2,5,8,8,4,1,8,2,4,Y
3,6,4,4,2,4,6,3,1,5,6,6,6,6,1,6,W
4,5,6,4,4,4,4,4,4,6,4,6,2,4,4,4,O
3,3,3,4,2,5,5,10,2,4,4,6,4,6,1,6,N
3,6,4,4,4,5,7,6,4,6,4,4,2,4,5,8,H
3,5,4,4,2,6,5,6,4,7,4,6,2,6,2,6,O
3,6,4,4,3,5,5,6,3,4,3,4,2,5,2,6,N
3,6,4,4,2,5,4,10,1,5,5,6,2,6,1,6,H
5,8,6,6,3,2,6,4,5,8,8,7,2,6,2,4,U
2,5,2,4,1,4,7,1,2,5,8,6,1,8,1,6,Y
4,6,5,4,3,4,6,3,6,8,5,4,2,6,4,4,S
4,6,4,5,4,5,5,5,4,5,4,5,2,6,6,6,S
2,2,2,2,1,5,8,2,4,5,7,6,1,8,1,5,T
2,2,2,2,1,3,5,3,4,7,6,9,1,6,2,5,C
3,7,5,5,2,6,6,4,2,4,10,6,2,6,1,6,V
4,6,4,4,2,4,8,3,5,8,6,3,2,8,2,3,T
5,8,4,4,2,5,6,2,5,6,5,6,4,6,2,5,K
2,6,3,4,3,5,6,5,4,5,5,4,2,6,2,5,D
2,1,2,1,1,5,6,3,1,5,6,6,4,7,1,6,W
2,6,2,5,2,6,5,1,5,9,4,6,1,6,1,6,I
2,6,2,4,2,2,5,4,7,5,4,10,1,6,5,6,E
4,6,6,5,3,4,8,4,4,9,5,2,2,6,2,4,F
2,6,3,5,2,5,5,1,5,9,4,6,1,6,1,6,I
4,7,5,6,6,5,5,4,4,5,4,6,2,6,3,6,H
3,5,3,4,2,5,4,9,4,5,10,5,2,6,1,6,U
2,2,2,2,1,4,6,5,5,6,5,8,1,7,2,6,C
4,6,4,5,5,5,4,4,3,5,5,6,4,7,6,8,F
2,6,4,4,2,6,2,2,2,6,2,6,2,4,2,5,A
2,5,4,4,2,5,6,2,6,8,5,5,1,6,4,5,Z
2,5,4,4,2,7,4,2,6,7,1,5,2,5,2,7,X
2,2,4,2,2,4,7,2,3,7,6,5,4,6,1,6,N
4,6,4,3,2,7,4,4,4,7,2,6,4,4,3,6,R
2,2,2,3,2,5,5,4,4,5,4,4,4,6,4,7,B
4,6,5,5,5,6,6,2,4,7,4,4,2,5,4,6,B
4,4,4,3,2,4,6,4,6,6,6,6,2,6,2,4,U
3,3,4,4,3,6,6,3,4,5,4,6,2,5,6,6,J
2,5,3,4,2,1,8,3,3,8,8,6,1,6,2,5,F
4,6,6,4,4,8,4,2,4,6,2,4,6,5,2,6,M
1,1,2,1,1,5,5,8,1,5,4,6,2,6,1,6,H
2,1,3,2,1,6,1,2,2,5,2,6,2,4,2,5,A
4,7,3,4,2,4,4,4,2,6,4,6,4,6,3,6,O
1,1,1,1,1,3,5,4,6,5,4,9,1,6,4,7,E
2,2,2,1,1,4,6,4,5,7,6,6,2,7,2,4,U
2,5,4,4,2,7,3,1,2,6,2,6,2,3,2,5,A
3,6,4,4,2,4,6,1,6,7,6,6,2,6,2,4,X
4,6,5,4,3,6,6,3,6,8,2,6,2,4,3,6,S
1,2,2,2,1,7,5,1,4,8,3,6,1,5,1,5,J
4,8,6,6,4,4,5,2,5,7,5,7,3,6,3,6,K
2,4,2,3,1,6,4,1,4,9,4,6,1,6,1,6,I
5,8,7,6,4,4,8,2,4,9,4,2,1,7,2,6,P
2,1,2,1,1,6,10,1,3,4,7,6,1,6,1,6,T
1,1,2,2,1,4,6,4,4,6,5,8,1,6,2,7,C
3,6,3,5,3,5,6,9,1,5,4,6,2,6,1,6,H
2,3,3,2,2,7,2,2,2,6,2,6,2,5,2,6,A
4,8,6,6,8,5,5,2,4,4,5,8,4,8,6,5,L
2,4,3,3,2,5,8,3,4,5,8,6,2,8,1,5,T
2,6,3,4,2,8,2,3,2,8,2,7,2,4,2,6,A
2,6,4,5,2,6,6,3,1,4,8,6,2,7,1,6,V
4,5,4,4,4,6,6,6,4,4,5,6,3,6,3,4,U
2,6,2,4,2,5,5,1,5,5,4,6,1,6,2,6,I
6,10,6,6,4,6,4,2,6,8,4,6,2,5,4,5,Z
3,5,4,4,4,6,6,3,2,6,5,6,5,8,4,6,V
4,6,5,4,5,6,5,4,4,4,5,4,7,5,3,4,M
3,6,4,4,3,4,4,2,6,5,2,6,1,4,2,5,L
2,2,4,4,2,6,4,6,5,5,4,7,2,6,3,6,O
3,2,4,3,3,5,5,4,4,5,4,4,2,6,5,7,B
6,10,5,6,3,6,2,2,2,6,4,8,4,3,4,4,A
4,6,6,4,5,6,4,1,5,7,2,6,2,5,2,6,K
2,5,3,4,3,5,5,4,4,5,4,6,2,6,2,6,H
5,6,5,5,4,4,7,1,6,8,6,4,2,6,2,3,T
4,4,5,3,3,3,8,2,2,6,6,6,5,8,1,5,W
2,6,2,4,1,1,8,3,4,8,8,6,1,6,2,4,F
2,2,4,3,1,5,4,2,1,5,1,6,2,5,1,6,A
