region-centroid-col,region-centroid-row,short-line-density-5,short-line-density-2,vedge-mean,vegde-sd,hedge-mean,hedge-sd,intensity-mean,rawred-mean,rawblue-mean,rawgreen-mean,exred-mean,exblue-mean,exgreen-mean,value-mean,saturation-mean,hue-mean,class
2,8,1,1,1,1,2,1,3,2,3,2,7,4,5,3,3,2,path
1,8,1,1,1,1,1,1,2,1,2,2,7,2,8,2,4,10,grass
2,6,1,1,1,1,1,1,1,1,1,1,9,2,6,1,8,2,foliage
3,9,1,1,2,1,1,1,1,1,1,1,8,1,8,1,5,9,grass
7,6,1,1,1,1,1,1,1,1,1,1,9,2,6,1,10,3,window
10,4,1,1,1,1,1,1,1,1,1,1,8,3,6,1,10,2,foliage
3,1,1,1,1,1,1,1,9,9,10,9,3,7,4,10,2,2,sky
8,8,1,1,1,1,1,1,5,4,5,4,6,6,2,5,4,2,path
9,10,4,5,2,1,1,1,1,1,1,2,8,1,9,1,6,9,grass
1,7,1,1,1,1,1,1,4,3,4,3,6,5,3,4,4,2,path
6,5,7,1,1,1,1,1,2,2,2,2,9,3,4,2,4,3,brickface
6,6,1,1,1,1,1,1,1,1,1,1,9,2,5,1,6,4,brickface
9,3,1,1,1,1,1,1,1,1,1,1,7,3,6,1,8,2,foliage
5,5,1,1,1,1,1,1,1,1,1,1,8,2,6,1,10,2,foliage
4,2,1,1,1,1,1,1,9,9,10,9,3,7,4,10,2,2,sky
3,2,1,1,1,1,1,1,5,4,5,4,5,7,2,5,4,2,cement
4,4,1,1,1,1,1,1,2,2,2,2,9,4,3,2,4,3,brickface
6,5,1,1,3,1,1,1,3,3,3,2,7,5,4,3,4,2,cement
4,6,1,1,1,1,1,1,1,1,1,1,8,2,6,1,10,2,foliage
6,6,1,1,1,1,1,1,1,1,1,1,10,2,5,1,6,4,brickface
7,10,4,1,1,1,1,1,1,1,1,2,8,1,9,2,5,9,grass
7,1,1,1,1,1,1,1,10,10,10,10,6,5,4,10,1,2,sky
4,8,1,1,1,1,2,1,5,4,5,4,5,6,2,5,3,2,path
4,4,1,1,3,1,1,1,4,4,5,4,5,6,3,5,4,2,cement
9,5,1,1,1,1,1,1,3,2,3,2,7,5,4,3,4,2,cement
7,4,1,1,1,1,1,1,2,2,2,2,7,4,4,2,5,2,window
1,6,1,1,1,1,1,1,1,1,1,1,10,2,5,1,7,5,brickface
4,8,1,5,2,1,2,1,5,4,6,4,5,7,2,6,4,2,path
5,2,1,1,4,1,1,1,5,5,6,5,6,6,2,6,3,2,cement
