COMPACTNESS,CIRCULARITY,'DISTANCE CIRCULARITY','RADIUS RATIO','PR.AXIS ASPECT RATIO','MAX.LENGTH ASPECT RATIO','SCATTER RATIO',ELONGATEDNESS,'PR.AXIS RECTANGULARITY','MAX.LENGTH RECTANGULARITY ','SCALED VARIANCE ALONG MAJOR AXIS','SCALED VARIANCE ALONG MINOR AXIS','SCALED RADIUS OF GYRATION','SKEWNESS ABOUT MAJOR AXIS','SKEWNESS ABOUT MINOR AXIS','KURTOSIS ABOUT MINOR AXIS','KURTOSIS ABOUT MAJOR AXIS','HOLLOWS RATIO',class
5,6,6,4,3,2,4,5,3,6,3,3,5,2,3,4,4,6,van
4,4,7,2,2,2,3,6,2,4,3,2,4,2,5,4,5,6,van
7,7,10,5,3,2,7,2,5,6,5,6,7,2,7,3,4,5,saab
5,4,6,3,2,2,3,6,2,4,2,2,2,1,3,3,8,9,van
3,5,5,5,7,10,3,6,2,4,6,2,5,9,5,3,2,1,bus
8,10,10,3,1,1,10,1,10,8,8,10,10,4,3,3,2,1,bus
6,4,5,4,2,1,3,5,2,4,3,3,4,1,6,1,8,8,bus
4,4,4,3,2,2,2,7,1,4,2,2,4,2,2,1,6,7,van
3,1,4,2,2,1,1,8,1,2,1,1,1,1,1,4,8,9,van
5,5,9,5,2,2,5,3,5,4,4,4,3,1,2,4,7,8,saab
3,2,5,2,2,2,2,7,1,2,2,1,2,1,1,3,6,7,van
4,1,4,2,1,1,1,8,1,1,1,1,1,1,3,7,7,7,saab
4,5,5,3,3,1,3,5,2,5,3,2,6,2,3,3,5,5,bus
4,4,7,2,2,2,3,6,2,4,3,2,4,2,4,4,4,6,van
5,7,6,5,3,1,5,4,4,6,4,4,7,2,3,1,7,6,bus
5,9,9,5,2,2,7,2,5,7,6,6,9,2,3,1,4,5,opel
4,2,2,1,1,1,1,9,1,2,1,1,2,3,1,4,2,2,van
6,4,6,5,3,1,5,3,4,3,4,4,3,2,2,3,8,6,bus
7,9,9,4,2,2,7,2,6,8,5,7,7,2,3,3,3,5,saab
7,9,9,5,3,2,7,2,6,8,6,6,8,2,3,2,4,4,opel
3,6,5,3,2,1,3,5,2,4,3,3,5,3,1,1,3,4,bus
3,2,2,1,2,1,1,9,1,1,1,1,2,4,4,1,1,1,van
5,4,4,4,3,1,3,5,2,4,3,2,5,2,5,1,8,9,bus
4,3,5,2,2,1,3,6,1,3,2,2,3,2,1,1,6,6,bus
6,8,10,6,3,2,7,2,5,7,5,6,8,2,1,2,5,7,saab
3,5,6,3,2,2,3,6,2,5,3,2,5,2,1,1,4,6,van
3,2,2,1,2,1,2,8,1,1,1,1,2,4,3,1,1,1,saab
8,9,9,5,2,2,7,2,7,7,6,7,7,2,1,7,4,6,saab
7,5,7,4,2,1,6,2,5,4,5,5,4,3,3,2,7,4,bus
2,2,4,2,1,1,3,6,2,2,2,2,4,4,5,5,2,2,saab
4,4,7,3,2,2,3,5,2,5,3,3,5,2,3,3,3,5,van
4,4,6,3,2,2,2,6,1,4,2,2,4,1,5,3,8,8,saab
5,1,4,3,2,1,2,6,1,2,2,2,1,1,3,4,7,7,opel
7,6,10,6,3,2,7,2,6,6,6,6,6,2,3,10,5,7,opel
4,2,7,4,2,2,4,4,3,2,3,3,2,1,1,7,8,8,opel
6,5,7,3,3,2,3,5,3,5,3,3,5,2,8,2,6,7,van
2,5,5,1,1,1,3,6,2,5,3,2,5,4,1,1,2,2,bus
4,6,7,9,9,9,3,6,2,6,8,2,6,8,1,4,3,5,van
8,8,9,4,1,2,7,2,6,8,6,7,7,2,1,3,4,6,saab
2,5,4,3,3,1,3,6,2,4,3,2,5,3,4,1,3,3,bus
5,6,9,5,3,2,7,2,5,5,6,6,6,2,3,3,4,4,opel
4,2,2,1,1,1,1,9,1,2,1,1,2,4,4,4,1,1,van
5,7,7,2,1,2,4,5,3,7,3,3,5,3,3,2,3,5,van
5,2,5,4,2,2,4,4,3,3,4,3,2,2,2,2,6,6,saab
10,9,10,6,2,2,7,2,6,7,5,6,8,1,10,1,6,7,saab
